date,close,change,change_pct,trading_vol,trading_value
20140101,5667.43,-24.04,-0.42,841850510.0,62.2
20140102,5667.43,-24.04,-0.42,841850510.0,62.2
20140103,5592.57,-74.86,-1.32,1025642072.0,75.15
20140106,5487.04,-105.53,-1.89,1259615873.0,86.29
20140107,5482.93,-4.11,-0.07,821152596.0,55.92
20140108,5486.51,3.58,0.07,947206577.0,66.39
20140109,5444.83,-41.68,-0.76,840333180.0,65.84
20140110,5393.71,-51.11,-0.94,876781548.0,58.54
20140113,5383.65,-10.06,-0.19,806913033.0,65.05
20140114,5443.44,59.79,1.11,821807616.0,59.94
20140115,5425.66,-17.78,-0.33,753855749.0,52.23
20140116,5435.2,9.55,0.18,854212691.0,60.12
20140117,5361.9,-73.3,-1.35,812466873.0,58.36
20140120,5364.12,2.21,0.04,626835192.0,51.87
20140121,5413.76,49.64,0.93,614757337.0,49.28
20140122,5532.8,119.04,2.2,1082477625.0,82.78
20140123,5512.94,-19.86,-0.36,887530458.0,67.93
20140124,5542.55,29.61,0.54,898429227.0,71.11
20140127,5505.54,-37.01,-0.67,961017496.0,79.34
20140128,5524.11,18.57,0.34,801429123.0,59.66
20140129,5568.44,44.34,0.8,791829423.0,61.84
20140130,5537.46,-30.98,-0.56,582708209.0,48.33
20140207,5588.53,51.07,0.92,715700171.0,54.11
20140210,5705.1,116.57,2.09,1232680722.0,92.43
20140211,5736.68,31.58,0.55,1634782582.0,115.83
20140212,5751.14,14.46,0.25,1024703505.0,79.92
20140213,5713.37,-37.78,-0.66,1555046187.0,113.79
20140214,5766.38,53.01,0.93,1053657181.0,93.31
20140217,5836.23,69.86,1.21,1345844436.0,122.36
20140218,5819.01,-17.22,-0.3,1186561345.0,103.47
20140219,5880.73,61.72,1.06,1774319754.0,133.73
20140220,5849.48,-31.25,-0.53,1993433537.0,150.02
20140221,5779.35,-70.13,-1.2,1357492016.0,104.68
20140224,5699.9,-79.46,-1.37,1592075557.0,123.1
20140225,5562.11,-137.79,-2.42,1479480702.0,118.43
20140226,5568.76,6.66,0.12,1115000068.0,83.96
20140227,5571.39,2.62,0.05,1814125287.0,125.67
20140228,5594.56,23.17,0.42,1296905402.0,97.5
20140303,5659.29,64.73,1.16,1541183914.0,106.08
20140304,5643.19,-16.1,-0.28,1218931371.0,91.82
20140305,5614.76,-28.43,-0.5,1070755784.0,84.18
20140306,5618.5,3.74,0.07,1053177453.0,78.99
20140307,5605.06,-13.44,-0.24,1046401636.0,80.18
20140310,5434.69,-170.37,-3.04,1261389269.0,89.51
20140311,5450.55,15.86,0.29,1015438948.0,80.29
20140312,5437.61,-12.94,-0.24,1194518104.0,90.12
20140313,5558.13,120.52,2.22,1677094480.0,114.65
20140314,5555.64,-2.49,-0.04,1145780565.0,81.55
20140317,5604.33,48.69,0.88,992974707.0,70.79
20140318,5623.37,19.04,0.34,1090984441.0,93.27
20140319,5604.42,-18.95,-0.34,832580512.0,67.28
20140320,5502.52,-101.91,-1.82,1096805650.0,79.11
20140321,5645.06,142.54,2.59,2105251142.0,124.94
20140324,5676.35,31.3,0.55,1814688144.0,110.52
20140325,5695.25,18.9,0.33,1530970692.0,98.19
20140326,5689.36,-5.89,-0.1,959733081.0,70.35
20140327,5657.45,-31.91,-0.56,1188585410.0,79.82
20140328,5639.35,-18.09,-0.32,1438891854.0,105.37
20140331,5631.77,-7.58,-0.13,1127195021.0,78.01
20140401,5714.7,82.93,1.47,880909372.0,67.12
20140402,5746.84,32.15,0.56,1219377957.0,88.45
20140403,5685.91,-60.93,-1.06,1503128429.0,87.04
20140404,5713.52,27.6,0.49,767270942.0,54.66
20140408,5804.47,90.95,1.59,1938342916.0,131.07
20140409,5817.12,12.65,0.22,1228599690.0,86.93
20140410,5901.16,84.04,1.44,2359658613.0,157.42
20140411,5926.58,25.42,0.43,2061512941.0,155.64
20140414,5931.33,4.75,0.08,1144694844.0,88.72
20140415,5828.35,-102.98,-1.74,1164190324.0,84.85
20140416,5840.38,12.03,0.21,836106160.0,59.29
20140417,5820.81,-19.57,-0.34,833636446.0,57.35
20140418,5818.92,-1.89,-0.03,981248339.0,66.82
20140421,5709.23,-109.69,-1.89,1003984428.0,71.23
20140422,5711.0,1.77,0.03,872409925.0,61.44
20140423,5702.84,-8.16,-0.14,823596425.0,62.25
20140424,5694.96,-7.88,-0.14,778507847.0,51.61
20140425,5615.58,-79.38,-1.39,1045976537.0,84.64
20140428,5548.41,-67.16,-1.2,1054938522.0,69.53
20140429,5608.01,59.6,1.07,950675768.0,67.89
20140430,5627.1,19.09,0.34,817323268.0,54.15
20140505,5625.23,-1.87,-0.03,1021549679.0,66.31
20140506,5626.92,1.69,0.03,713691765.0,46.52
20140507,5570.53,-56.39,-1.0,753215932.0,48.1
20140508,5576.56,6.04,0.11,739795561.0,48.57
20140509,5553.88,-22.69,-0.41,696174466.0,46.39
20140512,5677.94,124.07,2.23,1282346149.0,86.88
20140513,5671.18,-6.76,-0.12,812643609.0,55.27
20140514,5665.65,-5.53,-0.1,645940067.0,47.72
20140515,5610.11,-55.54,-0.98,666091286.0,44.84
20140516,5611.66,1.55,0.03,680643240.0,45.5
20140519,5556.07,-55.59,-0.99,708005890.0,52.29
20140520,5555.36,-0.72,-0.01,567181246.0,43.42
20140521,5598.46,43.1,0.78,596338523.0,43.38
20140522,5589.38,-9.08,-0.16,739681403.0,49.82
20140523,5626.73,37.35,0.67,556186395.0,38.77
20140526,5653.73,27.0,0.48,580412865.0,43.92
20140527,5632.27,-21.46,-0.38,624561557.0,42.97
20140528,5672.55,40.28,0.72,711631753.0,53.9
20140529,5636.22,-36.33,-0.64,687556782.0,48.98
20140530,5614.75,-21.47,-0.38,633765616.0,44.12
20140603,5610.1,-4.65,-0.08,660788282.0,41.69
20140604,5556.61,-53.49,-0.95,663589892.0,43.23
20140605,5613.25,56.64,1.02,646065256.0,43.93
20140606,5588.43,-24.82,-0.44,647016918.0,45.22
20140609,5580.2,-8.24,-0.15,644700905.0,42.89
